idPersonaje	idFamilia	nombreA	nombreE	suhra	nacimiento	nacimiento_comentario	muerte	muerte_comentario	edad	edad_comentario	resumenBiografico	creado	modificado	publicado	maestrosOrientales	nacimientoec	muerteec	fuentesCitadas
11	2	أبان بن محمد بن عبد الرحمن بن دينار، أبو محمد	Abān b. Muḥammad b. ʿAbd al-Raḥmān b. Dīnār, Abū Muḥammad	NA	0	NA	317	يوم الفطر	0	NA	NA	2010-12-29T01:12:44Z	2018-11-05T14:41:05Z	1	NA	0	929	NA
12	0	إبراهيم بن جعفر الزهري، (ابن) الأشيري، أبو إسحاق	Ibrāhīm (Aḥmad) b. Ğaʿfar al-Zuhrī, (Ibn) al-Ašīrī, Abū Isḥāq	(ابن) الأشيري	371	/391	435	NA	64	ded.	NA	2010-12-29T01:12:44Z	2013-12-04T10:23:50Z	1	NA	981	1043	NA
13	0	إبراهيم البطليوسي الأديب الأعلم، أبو إسحاق	NA	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:44Z	2010-12-29T01:12:44Z	1	NA	0	0	NA
14	0	إبراهيم الجبلي	NA	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:44Z	2010-12-29T01:12:44Z	1	NA	0	0	NA
15	0	إبراهيم الداني، أبو إسحاق	NA	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:44Z	2010-12-29T01:12:44Z	1	NA	0	0	NA
16	0	إبراهيم الزاهد الأندلسي	Ibrāhīm al-Zāhid	NA	0	NA	0	قديما	0	NA	NA	2010-12-29T01:12:44Z	2019-05-05T11:59:53Z	1	سحنون	0	0	عبد الله بن محمد < تميم بن محمد التميمي < أبيه
17	0	إبراهيم الشاطبي الغرناطي، أبو إسحاق	NA	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:44Z	2010-12-29T01:12:44Z	1	NA	0	0	NA
18	0	إبراهيم بن أبان بن عبد الملك بن عمر بن مروان بن الحكم، أبو عثمان	NA	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:44Z	2015-02-09T15:16:38Z	1	NA	0	0	"أبو سعيد بن يونس ـ ذكره (H, D, IA)
"
19	0	إبراهيم بن إبراهيم بن محمد الأنصاري المقرىء، ابن العشاب، أبو إسحاق	Ibrāhīm b. Ibrāhīm b. Muḥammad al-Anṣārī, al-Muqriʾ, Ibn al-ʿAššāb, Abū Isḥāq	ابن العشاب	0	NA	583	NA	0	NA	NA	2010-12-29T01:12:44Z	2012-05-17T12:05:08Z	1	NA	0	1187	ابن فرتون ـ حكى أنه... (IA)
20	0	إبراهيم بن أبي العيش بن يربوع القيسي السبتي، أبو إسحاق	Ibrāhīm b. Abī l-ʿAyš b. Yarbūʿ al-Qaysī al-Sabtī, Abū Isḥāq	NA	352	ded.	430	/433	78	NA	NA	2010-12-29T01:12:44Z	2012-07-17T19:28:27Z	1	NA	963	1039	أبو محمد بن خزرج، حفيده إبراهيم بن أحمد > أبو الفضل (IB)
21	0	إبراهيم بن أبي الفتح بن عبيد الله (عبد الله) بن خفاجة الهواري الشاعر، أبو إسحاق	Ibrāhīm b. Abī al-Fatḥ b. ʿUbayd Allāh (ʿAbd Allāh ) b. Ḫafāğa al-Hawwārī al-Šāʿir, Abū Isḥāq	NA	451	/450	533	domingo 25 šawwāl=25 junio	82	NA	NA	2010-12-29T01:12:44Z	2019-04-04T13:40:01Z	1	NA	1059	1139	ابن بسام (WJ, WW)
22	0	إبراهيم بن أبي الفضل بن صواب المجري (الحجري)، أبو إسحاق	NA	NA	0	NA	506	aprox.	81	NA	NA	2010-12-29T01:12:44Z	2012-05-09T20:26:33Z	1	NA	0	1112	NA
23	0	إبراهيم بن أبي القاسم بن سيد أبيه، أبو إسحاق	Ibrāhīm b. Abī l-Qāsim b. Sayyid Abī-hi, Abū Isḥāq	NA	0	NA	612	v. rağab=octubre	0	NA	NA	2010-12-29T01:12:44Z	2012-05-18T13:11:24Z	1	NA	0	1215	NA
24	0	إبراهيم بن أبي الوليد العبدري، أبو إسحاق	NA	NA	0	NA	480	dp.	0	NA	NA	2010-12-29T01:12:44Z	2012-10-31T12:59:03Z	1	NA	0	1087	NA
25	0	إبراهيم بن أبي بكر بن عبد الله بن موسى الأنصاري، التلمساني، أبو إسحاق	Ibrāhīm b. Abī Bakr b. ʿAbd Allāh b. Mūsà al-Anṣārī al-Tilimsānī, Abū Isḥāq	NA	609	1 rağab/27 de noviembre	690	/697	81	NA	NA	2010-12-29T01:12:44Z	2019-04-05T09:21:57Z	1	NA	1212	1291	NA
26	236	إبراهيم بن أحمد (بن إبراهيم بن أحمد بن محمد بن عمر) بن أسود الغساني، أبو إسحاق	Ibrāhīm b. Aḥmad b. (Ibrāhīm b. Aḥmad b. Muḥammad b. ʿUmar b.) Aswad al-Gassānī, Abū Isḥāq	NA	0	NA	494	/aprox. 500	0	NA	NA	2010-12-29T01:12:44Z	2015-07-08T14:02:44Z	1	NA	0	1100	NA
27	0	إبراهيم بن أحمد (محمد) بن إبراهيم بن سلام المعافري، أبو إسحاق	NA	NA	0	NA	516	/523	0	NA	NA	2010-12-29T01:12:44Z	2012-05-09T23:08:33Z	1	NA	0	1122	ابن سفيان وابن عات ـ عن (IA)
28	4	إبراهيم بن أحمد بن معاذ بن عثمان الشعباني	NA	NA	0	NA	303	ḏū l-qaʿda =mayo /302=914	0	NA	NA	2010-12-29T01:12:44Z	2019-02-25T10:06:37Z	1	NA	0	916	"▪ خالد (IF), (TM)<br/> 
▪ الرازي (TM)<br/>"
29	0	إبراهيم بن أحمد البصري القاضي، أبوإسحاق	NA	NA	0	NA	513	NA	0	NA	NA	2010-12-29T01:12:44Z	2010-12-29T01:12:44Z	1	NA	0	1119	NA
30	0	إبراهيم بن أحمد الحاج بن عبد الرحمن بن عثمان بن سعيد بن خالد بن عمارة الأنصاري، أبو إسحاق	NA	NA	495	NA	579	/599	90	+	NA	2010-12-29T01:12:44Z	2012-05-18T12:46:11Z	1	NA	1101	1183	NA
31	0	إبراهيم بن أحمد الشيباني البغدادي، الرياضي، أبو اليسر	Ibrāhīm b. Aḥmad al-Šaybānī al-Bagdādī, al-Riyāḍī, Abū l-Yusr	الرياضي	223	ded	298	domingo 16 de yumâdâ I=16 de enero	75	NA	NA	2010-12-29T01:12:44Z	2019-04-15T10:34:58Z	1	NA	837	911	تاريخ أبي إسحاق إبراهيم بن القاسم المعروف بالرقيق ـ خبره مختصر من (IA) ● سكن بن إبراهيم الأندلسي ـ ذكره (IA) ● عريب بن سعيد ـ قال (IA)
32	0	إبراهيم بن أحمد بن أسود، أبو إسحاق	NA	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:44Z	2010-12-29T01:12:44Z	1	NA	0	0	NA
33	0	إبراهيم بن أحمد بن جعفر بن أبي عنقود الباهلي، أبو إسحاق	NA	NA	0	NA	537	v. / dp. 553	0	NA	NA	2010-12-29T01:12:44Z	2012-05-10T10:50:14Z	1	NA	0	1142	NA
34	0	إبراهيم بن أحمد بن جعفر بن هارون بن محمد الأزدي الأطرابلسي البرقي	NA	NA	331	/351, ded.	371	v./v. 391	0	en 371/391 tenía 41 años	NA	2010-12-29T01:12:44Z	2012-07-05T20:17:43Z	1	NA	942	981	ابن شنظير (IB)
35	0	إبراهيم بن أحمد بن خلف (بن الحسن) بن جماعة بن مهدي البكري، أبو إسحاق	NA	NA	463	NA	542	NA	79	ded., (vivió largo tiempo) عمر وأسن	NA	2010-12-29T01:12:44Z	2014-03-05T09:06:01Z	1	NA	1070	1147	NA
36	0	إبراهيم بن أحمد بن خلف بن الحسن بن الوليد السلمي، ابن فرتون، أبو إسحاق	Ibrāhīm b. Aḥmad b. Ḫalaf b. al-Ḥasan b. al-Walīd al-Sulamī, Ibn Furtūn, Abū Isḥāq	ابن فرتون	0	NA	538	23 ğumādà II=2 enero	0	NA	NA	2010-12-29T01:12:44Z	2012-05-22T13:08:42Z	1	NA	0	1144	حفيده أبو العباس ـ ذكره (IA)
37	710	إبراهيم بن أحمد بن عبد الله السلمي الحاكم، ابن صدقة، أبو إسحاق	Ibrāhīm b. Aḥmad b. ʿAbd Allāh al-Sulamī al-Ḥākim, Ibn Ṣadaqa, Abū Isḥāq	ابن صدقة	0	NA	558	ṣafar = enero	0	NA	NA	2010-12-29T01:12:44Z	2016-03-04T13:47:35Z	1	"<div align=""right"">
السلفي ـ الاسكندرية ؟ سنة 515 <br />
أبي بكر الطرطوشي <br />
أبي الحسن بن الفراء الموصلي <br />
أبي الفتح البيضاوي وأبي محمد بن غزال المجاور  ـ مكة ـ سنة 516  <br />
</div>"	0	1163	NA
38	0	إبراهيم بن أحمد بن عبد الله بن محمد بن خيرة، أبو إسحاق	Ibrāhīm b. Aḥmad b. ʿAbd Allāh b. Muḥammad b. Ḫayra, Abū Isḥāq	NA	0	NA	620	muḥarram=febrero	0	NA	NA	2010-12-29T01:12:44Z	2012-05-18T14:25:14Z	1	NA	0	1223	NA
39	0	إبراهيم بن أحمد بن علي بن إبراهيم بن خلف الأنصاري، المديني، ابن البناء، أبو إسحاق	Ibrāhīm b. Aḥmad b. ʿAlī b. Ibrāhīm b. Ḫalaf al-Anṣārī, al-Madīnī, Ibn al Bannāʾ, Abū Isḥāq	ابن البناء، المديني	0	NA	635	aprox.	0	NA	NA	2010-12-29T01:12:44Z	2014-05-08T10:37:24Z	1	NA	0	1237	ابنه أبو بكر عبد الله بن إبراهيم صاحبنا بمدينة تونس ـ أخبرني بذلك (IA)
40	0	إبراهيم بن أحمد بن عيسى (بن يعقوب) الغافقي الإشبيلي، أبو إسحاق	Ibrāhīm b. Aḥmad b. ʿĪsā (b. Yaʿqūb) al-Gāfiqī al-Išbīlī, Abū Isḥāq	NA	641	NA	715	/710/716	74	NA	NA	2010-12-29T01:12:44Z	2019-04-15T10:38:32Z	1	NA	1243	0	al-Ḏahabī (BS)
41	464	إبراهيم بن أحمد بن فتح، ابن الحداد، مولى قريش من فهر، أبو إسحاق	Ibrāhīm b. Aḥmad b. Faṭh, Ibn al-Ḥaddād, Abū Isḥāq	ابن الحداد	0	NA	379	miércoles quedando unos días de rabīʿ II=julio	0	NA	NA	2010-12-29T01:12:44Z	2019-05-05T18:18:49Z	1	NA	0	989	NA
42	0	إبراهيم بن أحمد بن محمد الأزدي المكتب، أبو إسحاق	Ibrāhīm b. Aḥmad b. Muḥammad al Azdī al-Mukattib, Abū Isḥāq	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:44Z	2012-05-17T15:54:57Z	1	NA	0	0	NA
43	3	إبراهيم بن أحمد بن محمد بن إبراهيم بن عمر القيسي، ابن القاضي، أبو إسحاق	NA	ابن القاضي	0	NA	704	NA	0	NA	NA	2010-12-29T01:12:44Z	2010-12-29T01:12:44Z	1	NA	0	1304	NA
44	236	إبراهيم بن أحمد بن محمد بن أسود الغساني، أبو إسحاق	Ibrāhīm b. Aḥmad b. Muḥammad  b. Aswad al-Gassānī, Abū Isḥāq	NA	0	NA	467	NA	0	NA	NA	2010-12-29T01:12:44Z	2015-07-08T14:04:02Z	1	NA	0	1074	ابن مدير (IB)
45	0	إبراهيم بن أحمد بن محمد بن خلف الأنصاري الطرطوشي، أبو إسحاق	Ibrāhīm b. Aḥmad b. Muḥammad b. Ḫalaf al Anṣārī al Ṭurṭūšī, Abū Isḥāq	NA	0	NA	0	0	0	NA	NA	2010-12-29T01:12:44Z	2012-05-17T12:17:17Z	1	NA	0	0	NA
46	655	إبراهيم بن أحمد بن محمد بن رشيق الطليطلي، أبو إسحاق	NA	NA	0	NA	540	aprox.	0	NA	NA	2010-12-29T01:12:44Z	2015-02-22T16:52:20Z	1	NA	0	1145	NA
47	706	إبراهيم بن أحمد بن محمد بن مغيث بن أحمد بن مغيث بن أحمد بن مغيث الصدفي (الصوفي)، أبو إسحاق	Ibrāhīm b. Aḥmad b. Muḥammad b. Mugīṯ b. Aḥmad b. Mugīṯ b. Aḥmad b. Mugīṯ al-Ṣadafī (al-Ṣūfī), Abū Isḥāq	NA	0	NA	460	v.	0	NA	NA	2010-12-29T01:12:44Z	2014-01-20T12:26:45Z	1	NA	0	1067	NA
48	0	إبراهيم بن إدريس العلوي الحسني، الموبل	NA	الموبل	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:44Z	2019-04-25T11:00:04Z	1	NA	0	0	الحميدي (D)
49	439	إبراهيم بن إدريس بن إبراهيم بن عبد الرحمن بن عيسى بن إدريس التجيبي، أبو عمرو	Ibrāhīm b. Idrīs b. Ibrāhīm b. ʿAbd al Raḥmān b. ʿĪsà b. Idrīs al Tuğībī, Abū ʿAmr	NA	569	NA	631	NA	62	ded.	NA	2010-12-29T01:12:44Z	2016-08-18T18:18:07Z	1	NA	1173	1233	NA
50	0	إبراهيم بن إسحاق الأموي، ابن أبي زود (زرد، الورد)، أبو إسحاق	Ibrāhīm b. Isḥāq al-Umawī, Ibn Abī Zawd (Zard, al-Ward), Abū Isḥāq	ابن أبي زود (زرد، الورد)	0	NA	382	lunes 2 ramaḍān=31 octubre	0	NA	NA	2010-12-29T01:12:45Z	2019-05-05T18:24:00Z	1	السبئي العابِد (القيروان)	0	992	الصاحبان (IB)
51	0	إبراهيم بن إسحاق الجهني	Ibrāhīm b. Isḥāq al-Ǧuhanī	NA	0	NA	289	NA	0	NA	Alfaquí zaragozano	2010-12-29T01:12:45Z	2019-03-05T22:08:41Z	1	NA	0	901	الرازي
52	544	إبراهيم بن إسحاق بن جابر	Ibrāhīm b. Isḥāq b. Ğābir	NA	0	NA	289	/287	0	NA	Ulema cordobés del que sólo se sabe que transmitió de Saʿīd b. Ḥassān.	2010-12-29T01:12:45Z	2019-03-05T22:17:32Z	1	NA	0	901	تاريخ أبو سعيد، خالد
53	234	إبراهيم بن إسحاق بن عيسى بن أصبغ بن خالد بن يزيد، أبو إسحاق	Ibrāhīm b. Ishāq b. ʿĪsā b. Aṣbaġ b. Ḫālid b. Yazīd, Abū Isḥāq	NA	196	ded.	268	NA	72	NA	NA	2010-12-29T01:12:45Z	2019-05-05T10:04:21Z	1	NA	811	881	ابن ابنه إبراهيم بن محمد بن إبراهيم بن إسحاق-ذكره IF<br/>
54	485	إبراهيم بن إسحاق بن محمد بن علي بن خلف بن أحمد بن محمد بن علي العبدري، ابن عائشة، أبو إسحاق	Ibrāhīm b. Isḥāq b. Muḥammad b. ʿAlī b. Ḫalaf b. Aḥmad b. Muḥammad b. ʿAlī al-ʿAbdarī, Ibn ʿĀʾiša, Abū Isḥāq	ابن عائشة	577	NA	642	19 ḏū l-qaʿda=18 abril	65	ded.	Alfaquí mallorquín de origen córdobés. Durante un tiempo sufrió prisión en su lugar y tras su liberación marchó a Valencia. Allí fue sustituto en los aḥkām y más tarde cadí de Denia. Finalmente se trasladó Túnez, donde murió y fue enterrado. Ibn al-Abbār lo conoció en esa capital, oyéndole relatar historias (aḥbār), y asistió a su entierro.	2010-12-29T01:12:45Z	2015-03-19T12:57:17Z	1	NA	1181	1245	NA
55	0	إبراهيم بن إسماعيل القبري، أبو إسحاق	Ibrāhīm b. Ismāʿīl, al-Qabrī, Abū Isḥāq	NA	0	NA	366	v.	0	NA	NA	2010-12-29T01:12:45Z	2012-05-08T16:19:47Z	1	NA	0	976	NA
56	0	إبراهيم بن إسماعيل بن أبي عثمان القيسي، أبو إسحاق	Ibrāhīm b. Ismāʿīl b. Abī ʿUṯmān al Qaysī, Abū Isḥāq	NA	0	NA	607	aprox.	0	NA	NA	2010-12-29T01:12:45Z	2012-05-18T09:50:22Z	1	NA	0	1210	NA
57	0	إبراهيم بن إسماعيل بن سهل	NA	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:45Z	2019-05-06T13:08:40Z	1	محمد بن حزمٍ، < إبراهيم بن بُكيرٍ، < أبي الحَسَن بن محمدٍ الخُراسانيّ، < عليٍّ بن المدنيِّ	0	0	NA
58	782	إبراهيم بن إسماعيل بن عبد الله بن الفتح بن عمر الفندوي العبدري، أبو إسحاق	NA	NA	0	NA	514	v.	0	NA	NA	2010-12-29T01:12:45Z	2018-10-11T11:49:09Z	1	NA	0	1120	NA
59	0	إبراهيم بن أصبغ	NA	NA	0	NA	0	NA	0	NA	Uno de los más importantes discípulos de Baqī b. Maḫlad.	2010-12-29T01:12:45Z	2012-05-08T14:25:01Z	1	NA	0	0	أبو الحسين بن بقي ـ ذكره (IA)
60	0	إبراهيم بن العباس بن عيسى بن عمر بن الوليد بن عبد الملك بن مروان المرواني القرشي، أبو العباس، أبو إسحاق	NA	NA	0	NA	223	v.	0	v.	NA	2010-12-29T01:12:45Z	2012-05-08T13:40:49Z	1	NA	0	837	NA
61	0	إبراهيم بن الفخار اليهودي الطبيب، أبو إسحاق	NA	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:45Z	2010-12-29T01:12:45Z	1	NA	0	0	والد بن سعيد
62	0	إبراهيم بن المناصف، أبو إسحاق	NA	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:45Z	2010-12-29T01:12:45Z	1	NA	0	0	NA
63	525	إبراهيم بن النعمان، أبو إسحاق	Ibrāhīm b. al-Nuʿmān, Abū Isḥāq	NA	0	NA	283	NA	0	NA	Ulema andalusí que residió en Qayrawān y murió en Sūsa. Fue discípulo de Ṣaḥnūn b. Saʿīd.	2010-12-29T01:12:45Z	2019-04-04T12:45:06Z	1	سحنون ابن سعيد	0	896	عبد الله بن محمد بن قاسم < أبو العباس تمام بن محمد التميمي، عبد الله بن محمد
64	0	إبراهيم بن أمير المسلمين أبي الحسن بن أمير المسلمين أبي سعيد عثمان بن أمير المسلمين أبي يوسف يعقوب بن عبد الحق، أبو سالم	NA	NA	0	NA	762	NA	0	NA	NA	2010-12-29T01:12:45Z	2010-12-29T01:12:45Z	1	NA	0	1360	NA
65	0	إبراهيم بن أيمن الفقيه، أبو إسحاق	Ibrāhīm b. Ayman, Abū Isḥāq	NA	390	aprox., ded.	460	dp.	70	+	NA	2010-12-29T01:12:45Z	2012-07-19T08:55:09Z	1	NA	999	1067	ابن مدير، الحميدي (IB)
66	0	إبراهيم بن بكر الموصلي	Ibrāhīm b. Bakr al-Mawṣulī	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:45Z	2012-05-28T14:14:27Z	1	NA	0	0	NA
67	0	إبراهيم بن بكر بن عمران بن عبد العزيز اللخمي، أبو إسحاق	Ibrāhīm b. Bakr b. ʿImrān b. ʿAbd al-ʿAzīz al-Laḫmī, Abū Isḥāq	NA	0	NA	385	ḏū l-qaʿda=noviembre / 485	0	NA	NA	2010-12-29T01:12:45Z	2019-05-06T13:38:00Z	1	الأبهري (العراق)، أبي الفتح محمد بن الحسين بن أحمد الأزدي (الموصل)	0	995	NA
68	0	إبراهيم بن ثابت بن أخطل، أبو إسحاق	Ibrāhīm b. Ṯābit b. Aḫṭal, Abū Isḥāq	NA	0	NA	432	NA	0	قد شاخ	NA	2010-12-29T01:12:45Z	2015-02-09T15:37:50Z	1	NA	0	1040	أبو عمرو (IB)
69	0	إبراهيم بن جابر بن عمر بن عبد الرحمن بن عمر المخزومي، القفال، أبو إسحاق	Ibrāhīm b. Ğābir b. ʿUmar b. ʿAbd al-Raḥmān b. ʿUmar al-Maḫzūmī, al-Qaffāl, Abū Isḥāq	القفال	0	NA	641	NA	80	NA	NA	2010-12-29T01:12:45Z	2012-05-22T15:47:09Z	1	NA	0	1243	ابنه وغيره ـ حدثني بذلك (IA)
70	0	إبراهيم بن جعفر بن أحمد اللواتي، ابن الفاسي، أبو إسحاق	NA	ابن الفاسي	0	NA	513	ğumādà II=septiembre	0	NA	NA	2010-12-29T01:12:45Z	2012-04-18T09:49:01Z	1	NA	0	1119	أبو الفضل بن عياض (IB)
71	0	إبراهيم بن جميل (حميل) الأندلسي	NA	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:45Z	2012-07-19T09:07:32Z	1	NA	0	0	أبو القاسم سليمان بن أحمد بن أيوب بن مطير اللخمي (H, D)
72	0	إبراهيم بن حارث الكلاعي، أبو إسحاق	Ibrāhīm b. Ḥāriṯ al-Kalāʿī, Abū Isḥāq	NA	0	NA	560	aprox.	0	NA	NA	2010-12-29T01:12:45Z	2012-05-22T13:48:44Z	1	NA	0	1164	الخطيب أبو محمد بن برطلة ـ أفادنيه (IA)
73	0	إبراهيم بن حارث بن عبد الملك بن مروان الأنطي المقرىء، أبو إسحاق	Ibrāhīm b. Ḥāriṯ b. ʿAbd al-Malik b. Marwān al-Anṭī al-Muqriʾ, Abū Isḥāq	NA	0	NA	391	miércoles 3 ğumādà II = 30 abril	0	NA	NA	2010-12-29T01:12:45Z	2019-05-06T13:49:11Z	1	أبي يعقوب يوسف بن أحمد الشيباني، أبي حفص بن عراك، أبي القاسم السّقطي (مكة)	0	1001	NA
74	0	إبراهيم بن حبيب بن يحيى بن أحمد بن حبيب الكلبي، أبو بكر	Ibrāhīm b. Ḥabīb b. Yaḥyà b. Aḥmad b. Ḥabīb al-Kalbī, Abū Bakr	NA	347	finales	0	NA	0	NA	NA	2010-12-29T01:12:45Z	2012-05-23T09:43:24Z	1	NA	959	0	ابن أبيض (IB)
75	684	إبراهيم بن حزم، أبو إسحاق	Ibrāhīm b. Ḥazm, Abū Isḥāq	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:45Z	2019-05-05T17:10:27Z	1	NA	0	0	إسماعيل
76	5	إبراهيم بن حسين بن خالد بن مرتنيل بن عمر، أبو إسحاق، مولى الإمام عبد الرحمن بن معاوية	Ibrāhīm b. Ḥusayn b. Ḫālid b. Martinīl b. ʿUmar, Abū Isḫāq, mawlà del imām ʿAbd al-Raḥmān b. Muʿāwiya	NA	0	NA	249	ramaḍān=octubre/dp. 240	0	NA	NA	2010-12-29T01:12:45Z	2019-06-08T17:08:11Z	1	"علي بن سعيد، وعبد الملك بن هشام صاحب المشاهد، ومطرف بن عبد الله<br/>
علي بن معبد<br/>
سحنون بن سعيد<br/>"	0	863	أحمد-قاله IF<br/>
77	0	إبراهيم بن حسين بن خلف القيسي، الشطاطي، أبو إسحاق	NA	الشطاطي	0	NA	600	v.	0	NA	NA	2010-12-29T01:12:45Z	2010-12-29T01:12:45Z	1	NA	0	0	NA
78	6	إبراهيم بن حسين بن عاصم (بن مسلم) بن كعب بن محمد بن علقمة بن جناب بن مسلم بن عدي بن مرة بن عوف الثقفي، أبو إسحاق	NA	NA	0	NA	256	martes de rağab=junio	0	NA	NA	2010-12-29T01:12:45Z	2019-04-05T09:23:24Z	1	NA	0	870	خالد
79	0	إبراهيم بن حسين بن يوسف القيسي، ابن محارب، أبو إسحاق	Ibrāhīm b. Ḥusayn b. Yūsuf al Qaysī, Ibn Muḥārib, Abū Isḥāq	ابن محارب	0	NA	580	/581	0	NA	NA	2010-12-29T01:12:45Z	2012-05-17T10:15:17Z	1	NA	0	1184	NA
80	0	إبراهيم بن حفص	NA	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:45Z	2010-12-29T01:12:45Z	1	NA	0	0	NA
81	0	إبراهيم بن حكم، أبو إسحاق	NA	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:45Z	2010-12-29T01:12:45Z	1	NA	0	0	المسهب
82	0	إبراهيم بن حماد، أبو إسحاق	Ibrāhīm b. Ḥammād, Abū Isḥāq	NA	0	NA	0	NA	0	NA	Apenas si se tienen noticias de este ulema norteafricano, salvo que transmitió de Abū ʿAlī al-Ṣadafīو y sobre esto  Ibn al- Abbār ignora si lo conoció personalmente o si le escribió.	2010-12-29T01:12:45Z	2015-05-06T16:25:29Z	1	NA	0	0	NA
83	0	إبراهيم بن حمدان بن عبد الله (عبد الصمد)، أبو إسحاق	NA	NA	0	NA	318	lunes 4 muḥarram = 6 febrero	0	NA	NA	2010-12-29T01:12:45Z	2015-02-10T13:51:34Z	1	NA	0	930	NA
84	0	إبراهيم بن حمدون	Ibrāhīm b. Ḥamdūn	NA	0	NA	319	NA	0	NA	Cordobés virtuoso que oyó a Ibn Waḍḍāḥ.	2010-12-29T01:12:45Z	2017-08-14T12:20:45Z	1	NA	0	931	خالد
